,charges,elements,total energy,electronic energy,delta total energy,delta electronic energy,sorted_dx,lexi_dx,dx,c,sorted_c,lexi_c,inv_c,inv_sorted_c,inv_lexi_c,num_dope
0,"[7, 5, 6, 6, 6, 6, 1, 1, 1, 1, 1, 1]","['N', 'B', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H']",-230.03464350420379,-336.9060061595445,0.12247291115076564,-0.07731532847446942,"[-1, 0, 0, 0, 0, 1]","[-1, 0, 0, 0, 0, 1]","[1, -1, 0, 0, 0, 0]","[-0.3486343676945661, -0.4698477829756595, -1.1081217521860296, -0.4698563307488944, -0.3486829266257156, 0.2956663084663891]","[0.9055918394132391, -0.08703275262231841, 0.4919421697903806, -0.08710497496497577, 0.9055287553124916, 0.32054955713527605]","[0.9055918394132391, -0.08703275262231841, 0.4919421697903806, -0.08710497496497577, 0.9055287553124916, 0.32054955713527605]","[2.6190517748991837e-07, -0.12121315337595676, 1.0000016319543552, -1.3011870692580807e-06, -8.29135997211794e-05, 0.9926248539407287]","[0.003042440870520857, -0.6412582352904221, -0.5000631929881502, -0.8660250567600652, -0.49999220784893783, -0.5819998414074058]","[0.003042440870520857, -0.6412582352904221, -0.5000631929881502, -0.8660250567600652, -0.49999220784893783, -0.5819998414074058]",2
1,"[7, 6, 5, 6, 6, 6, 1, 1, 1, 1, 1, 1]","['N', 'C', 'B', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H']",-230.04011910048214,-336.99598663181513,0.12794850742912445,0.012665143796141365,"[-1, 0, 0, 0, 0, 1]","[-1, 0, 0, 0, 1, 0]","[1, 0, -1, 0, 0, 0]","[-0.909281124499923, 0.0907202455492569, -0.4062023349532784, -0.909267184222277, 0.09073034361776283, -0.4061754906412211]","[0.9055918394132391, -0.08703275262231841, 0.4919421697903806, -0.08710497496497577, 0.9055287553124916, 0.32054955713527605]","[0.9092250563533839, 0.9093082318581963, 0.40621750199933737, -0.09070433525776961, -0.09076207222852811, 0.40619040763385206]","[-0.0030435995832050478, -0.7625309840746806, 0.5000351899634633, 0.8659911909496668, 0.49996395477077854, 0.4106060700396206]","[0.003042440870520857, -0.6412582352904221, -0.5000631929881502, -0.8660250567600652, -0.49999220784893783, -0.5819998414074058]","[-6.987121025092691e-07, 4.78602190818328e-05, -1.0000121668297888, 7.139223491375857e-05, -0.9999878272940144, -6.378281275676301e-05]",2
2,"[7, 6, 6, 5, 6, 6, 1, 1, 1, 1, 1, 1]","['N', 'C', 'C', 'B', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H']",-230.03285991216558,-337.0041156452203,0.12068931911255731,0.020794157201294183,"[-1, 0, 0, 0, 0, 1]","[-1, 0, 0, 1, 0, 0]","[1, 0, 0, -1, 0, 0]","[-0.696486803535665, -0.6964883666279211, 0.1725479869972235, -0.6964616934036443, -0.6965588944826496, 0.17258069409492427]","[0.9055918394132391, -0.08703275262231841, 0.4919421697903806, -0.08710497496497577, 0.9055287553124916, 0.32054955713527605]","[0.696486803535665, 0.6964883666279211, -0.1725479869972235, 0.6964616934036443, 0.6965588944826496, -0.17258069409492427]","[-1.3856579200721697e-07, -0.12122210162011998, 1.3801711851502141e-05, 2.4971566212173002e-05, 0.9999292530452745, 0.9926966758123366]","[0.003042440870520857, -0.6412582352904221, -0.5000631929881502, -0.8660250567600652, -0.49999220784893783, -0.5819998414074058]","[1.3856579200721697e-07, 0.12122210162011998, -1.3801711851502141e-05, -2.4971566212173002e-05, -0.9999292530452745, -0.9926966758123366]",2
3,"[7, 7, 5, 5, 6, 6, 1, 1, 1, 1, 1, 1]","['N', 'N', 'B', 'B', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H']",-233.45988648232776,-340.4002976478137,3.547715889274741,3.4169761597947286,"[-1, -1, 0, 0, 1, 1]","[-1, -1, 0, 0, 1, 1]","[1, 1, -1, -1, 0, 0]","[-1.2571335603410219, -0.1359203381030047, 0.8744674042299748, -1.135872546877027, -0.2571456242391712, -0.529261105012686]","[1.4661825280720568, 0.35242769626021847, -0.20996208039631176, -0.6476656409716397, 0.46608375645824784, 1.0224062732355172]","[1.4661825280720568, 0.35242769626021847, -0.20996208039631176, -0.6476656409716397, 0.46608375645824784, 1.0224062732355172]","[-0.0030440000541746004, -0.7625399323188438, -0.4999526402790404, 0.8660174637029481, 1.4999761214157743, 0.4106778919112285]","[0.0030420040635958934, -0.7624235284472971, -0.5000737278635838, -0.8659549657122207, -1.5000629487426735, 0.41056122972056613]","[0.0030420040635958934, -0.7624235284472971, -0.5000737278635838, -0.8659549657122207, -1.5000629487426735, 0.41056122972056613]",4
4,"[7, 7, 5, 6, 5, 6, 1, 1, 1, 1, 1, 1]","['N', 'N', 'B', 'C', 'B', 'C', 'H', 'H', 'H', 'H', 'H', 'H']",-233.4630211190651,-340.3189916909731,3.550850526012084,3.335670202954134,"[-1, -1, 0, 0, 1, 1]","[-1, 0, -1, 0, 1, 1]","[1, 1, -1, 0, -1, 0]","[-1.469871813158741, -0.34874020333327993, 0.29570191523341394, -0.348706518215613, 0.5301753424720066, -1.1080322067414623]","[1.4661825280720568, 0.35242769626021847, -0.20996208039631176, -0.6476656409716397, 0.46608375645824784, 1.0224062732355172]","[0.9055357712666998, 0.9129957247851346, 0.49195733683643955, -1.0870764944450224, 0.9054970267017262, 0.320564474127907]","[-0.003043162776280084, -0.6413656909178056, 0.500045724838897, 0.8659210999018221, 1.5000346956645143, -0.5819550010883514]","[0.0030420040635958934, -0.7624235284472971, -0.5000737278635838, -0.8659549657122207, -1.5000629487426735, 0.41056122972056613]","[-1.8574247866443017e-06, -1.4037413591460208, -1.0000401698544756, 3.752642451526622e-05, -1.0000160803721736, -0.17145755418054198]",4
5,"[7, 7, 5, 6, 6, 5, 1, 1, 1, 1, 1, 1]","['N', 'N', 'B', 'C', 'C', 'B', 'H', 'H', 'H', 'H', 'H', 'H']",-233.453088122378,-340.1937777119173,3.540917529324986,3.2104562238982908,"[-1, -1, 0, 0, 1, 1]","[-1, 0, 0, -1, 1, 1]","[1, 1, -1, 0, 0, -1]","[-1.466238596218596, 0.6476007811472348, 0.20997724744237073, -0.35230587850840683, -0.4661154850690131, -1.0223913562428864]","[1.4661825280720568, 0.35242769626021847, -0.20996208039631176, -0.6476656409716397, 0.46608375645824784, 1.0224062732355172]","[1.118330092230958, 0.12578711260795689, 1.0707076587869415, -0.8742710036263897, 0.11820778860131381, 0.8993206588640523]","[-0.00608630235890345, -5.959540830158261e-05, 9.675099725831821e-05, 1.7320175488968013, 1.0000390762194376, -1.894249370230916e-05]","[0.0030420040635958934, -0.7624235284472971, -0.5000737278635838, -0.8659549657122207, -1.5000629487426735, 0.41056122972056613]","[0.0030416035926263962, -0.7624324766914603, -1.5000615581060877, -0.8659286929589394, -0.5000507820976778, 0.41063305159217406]",4
6,"[7, 7, 6, 5, 5, 6, 1, 1, 1, 1, 1, 1]","['N', 'N', 'C', 'B', 'B', 'C', 'H', 'H', 'H', 'H', 'H', 'H']",-233.4700308875703,-340.5102689977242,3.557860294517269,3.5269475097052236,"[-1, -1, 0, 0, 1, 1]","[-1, -1, 0, 1, 1, 0]","[1, 1, 0, -1, -1, 0]","[-1.2570774921944827, -1.1359488155104578, 0.8744522371839158, -0.13590102739698035, -0.2571138956284059, -0.5292760220053169]","[1.4661825280720568, 0.35242769626021847, -0.20996208039631176, -0.6476656409716397, 0.46608375645824784, 1.0224062732355172]","[1.2570774921944827, 1.1359488155104578, -0.8744522371839158, 0.13590102739698035, 0.2571138956284059, 0.5292760220053169]","[2.982411329566226e-07, -5.68084632450519e-05, 2.4336587285178624e-05, -4.5119481632382996e-05, 1.99999999393901, 0.00013560468436468742]","[0.0030420040635958934, -0.7624235284472971, -0.5000737278635838, -0.8659549657122207, -1.5000629487426735, 0.41056122972056613]","[-2.982411329566226e-07, 5.68084632450519e-05, -2.4336587285178624e-05, 4.5119481632382996e-05, -1.99999999393901, -0.00013560468436468742]",4
7,"[7, 5, 7, 6, 6, 5, 1, 1, 1, 1, 1, 1]","['N', 'B', 'N', 'C', 'C', 'B', 'H', 'H', 'H', 'H', 'H', 'H']",-233.46465407882621,-340.0672453071577,3.5524834857731946,3.083923819138704,"[-1, -1, 0, 0, 1, 1]","[-1, 0, 0, 1, -1, 1]","[1, -1, 1, 0, 0, -1]","[-0.3449450826078821, -0.473535275902598, -1.1938615870231317, 0.5265158284383584, -1.34494202555597, 0.38129224197233413]","[1.4661825280720568, 0.35242769626021847, -0.20996208039631176, -0.6476656409716397, 0.46608375645824784, 1.0224062732355172]","[0.6928535865955201, -0.2998526178525936, -0.0868233192061803, 0.700061053696438, 1.6928497220236693, -0.25822154459350033]","[1.4206178616804621e-06, 1.2825760659891459, 1.000029634979042, 3.2564623329123243e-05, -5.466052156190187e-05, 1.164018625308514]","[0.0030420040635958934, -0.7624235284472971, -0.5000737278635838, -0.8659549657122207, -1.5000629487426735, 0.41056122972056613]","[0.0030432781484153737, -0.520083993889384, 0.4999351721297871, -0.8661214205611911, -0.4999336336001979, -1.5746327344069857]",4
8,"[7, 5, 7, 6, 5, 6, 1, 1, 1, 1, 1, 1]","['N', 'B', 'N', 'C', 'B', 'C', 'H', 'H', 'H', 'H', 'H', 'H']",-233.47011648502698,-340.1261756876571,3.557945891973958,3.1428541996381227,"[-1, -1, 0, 0, 1, 1]","[-1, 0, 1, -1, 1, 0]","[1, -1, 1, 0, -1, 0]","[-0.34857829954802694, -1.4698762603831126, -1.1081369192320885, 0.5301151887311523, -0.34865119801495037, 0.29565139147375813]","[1.4661825280720568, 0.35242769626021847, -0.20996208039631176, -0.6476656409716397, 0.46608375645824784, 1.0224062732355172]","[1.1220193773176421, 0.12209961968101835, 0.9849678239498393, 0.12210115556086304, -0.8780513103289406, 0.9849465923699974]","[0.003044560200485047, 0.641269970479642, 1.4999786088206808, -0.8660638843716499, 0.4999409589235147, 0.5820825667138649]","[0.0030420040635958934, -0.7624235284472971, -0.5000737278635838, -0.8659549657122207, -1.5000629487426735, 0.41056122972056613]","[0.0030427623053105313, 0.6413567426736424, -1.5000335550814008, -0.8658948271485407, -0.5000225290195185, 0.5820268229599592]",4
9,"[7, 6, 7, 5, 5, 6, 1, 1, 1, 1, 1, 1]","['N', 'C', 'N', 'B', 'B', 'C', 'H', 'H', 'H', 'H', 'H', 'H']",-233.46977192977738,-340.325617235964,3.5576013367243604,3.342295747945002,"[-1, -1, 0, 0, 1, 1]","[-1, -1, 0, 1, 0, 1]","[1, 0, 1, -1, -1, 0]","[-0.6964307353891257, -1.6965168440353744, 0.17253281995116454, 0.3035098260764023, -0.6965271658718842, 0.1725657771022933]","[1.4661825280720568, 0.35242769626021847, -0.20996208039631176, -0.6476656409716397, 0.46608375645824784, 1.0224062732355172]","[1.2534442752543378, 0.13960783102994317, -0.7887275693928726, 0.13950038768977419, 1.2534047231694256, 0.44363517150674087]","[0.0030441597295154943, 0.6412610222354787, 0.49999077857817703, -0.8660376116183683, 1.4999531255685103, 0.5821543885854727]","[0.0030420040635958934, -0.7624235284472971, -0.5000737278635838, -0.8659549657122207, -1.5000629487426735, 0.41056122972056613]","[0.00304284134149041, -0.6412492870462589, 0.49992463725435343, -0.8660513295133466, -1.5000043744939335, -0.5820716632790137]",4
10,"[7, 6, 7, 5, 6, 5, 1, 1, 1, 1, 1, 1]","['N', 'C', 'N', 'B', 'C', 'B', 'H', 'H', 'H', 'H', 'H', 'H']",-233.4658409351095,-340.16832524775157,3.5536703420564777,3.185003759732581,"[-1, -1, 0, 0, 1, 1]","[-1, 0, -1, 1, 0, 1]","[1, 0, 1, -1, 0, -1]","[-0.692797518448981, -0.7001758595548595, 0.08680815216012133, 0.29991046578360847, -1.692817993412904, 0.2582066276008693]","[1.4661825280720568, 0.35242769626021847, -0.20996208039631176, -0.6476656409716397, 0.46608375645824784, 1.0224062732355172]","[0.692797518448981, 0.7001758595548595, -0.08680815216012133, -0.29991046578360847, 1.692817993412904, -0.2582066276008693]","[1.0201468921278156e-06, 1.2825671177449827, 4.180473653840833e-05, 5.883737661060984e-05, 0.9999575061234338, 1.164090447180122]","[0.0030420040635958934, -0.7624235284472971, -0.5000737278635838, -0.8659549657122207, -1.5000629487426735, 0.41056122972056613]","[-1.0201468921278156e-06, -1.2825671177449827, -4.180473653840833e-05, -5.883737661060984e-05, -0.9999575061234338, -1.164090447180122]",4
11,"[5, 7, 5, 6, 7, 6, 1, 1, 1, 1, 1, 1]","['B', 'N', 'B', 'C', 'N', 'C', 'H', 'H', 'H', 'H', 'H', 'H']",-233.46589862076922,-340.1220831688082,3.553728027716204,3.13876168078923,"[-1, -1, 0, 0, 1, 1]","[-1, 0, 1, 0, -1, 1]","[-1, 1, -1, 0, 1, 0]","[0.34857829954802694, 1.4698762603831126, 1.1081369192320885, -0.5301151887311523, 0.34865119801495037, -0.29565139147375813]","[1.4661825280720568, 0.35242769626021847, -0.20996208039631176, -0.6476656409716397, 0.46608375645824784, 1.0224062732355172]","[0.9056479075597782, -1.0870612300297717, 0.4919270027443216, 0.9128665445150708, 0.9055604839232568, 0.3205346401426451]","[-0.003044560200485047, -0.641269970479642, -1.4999786088206808, 0.8660638843716499, -0.4999409589235147, -0.5820825667138649]","[0.0030420040635958934, -0.7624235284472971, -0.5000737278635838, -0.8659549657122207, -1.5000629487426735, 0.41056122972056613]","[0.006086739165828414, 0.12122488856517655, -8.621612182467764e-05, -1.7320876399446457, 3.166467429804722e-05, -0.9925421286342696]",4
12,"[7, 6, 6, 7, 5, 5, 1, 1, 1, 1, 1, 1]","['N', 'C', 'C', 'N', 'B', 'B', 'H', 'H', 'H', 'H', 'H', 'H']",-233.4684658523074,-340.20909090882895,3.5562952592543695,3.225769420809968,"[-1, -1, 0, 0, 1, 1]","[-1, -1, 1, 0, 0, 1]","[1, 0, 0, 1, -1, -1]","[-1.118330092230958, -0.12578711260795689, -1.0707076587869415, 0.8742710036263897, -0.11820778860131381, -0.8993206588640523]","[1.4661825280720568, 0.35242769626021847, -0.20996208039631176, -0.6476656409716397, 0.46608375645824784, 1.0224062732355172]","[1.466238596218596, -0.6476007811472348, -0.20997724744237073, 0.35230587850840683, 0.4661154850690131, 1.0223913562428864]","[-0.0030416035926263962, 0.7624324766914603, 1.5000615581060877, 0.8659286929589394, 0.5000507820976778, -0.41063305159217406]","[0.0030420040635958934, -0.7624235284472971, -0.5000737278635838, -0.8659549657122207, -1.5000629487426735, 0.41056122972056613]","[0.00608630235890345, 5.959540830158261e-05, -9.675099725831821e-05, -1.7320175488968013, -1.0000390762194376, 1.894249370230916e-05]",4
13,"[5, 7, 6, 5, 7, 6, 1, 1, 1, 1, 1, 1]","['B', 'N', 'C', 'B', 'N', 'C', 'H', 'H', 'H', 'H', 'H', 'H']",-233.46791016959503,-340.1085762138162,3.5557395765420097,3.1252547257972196,"[-1, -1, 0, 0, 1, 1]","[-1, 0, 1, -1, 0, 1]","[-1, 1, 0, -1, 1, 0]","[0.5613726205122851, 0.6826676482059347, 1.6868872411825906, -0.31730969791251956, -0.43863804008546214, 0.28310479326238724]","[1.4661825280720568, 0.35242769626021847, -0.20996208039631176, -0.6476656409716397, 0.46608375645824784, 1.0224062732355172]","[1.1183861603774972, -0.8742413647994964, 1.0706924917408824, 0.12570051585365688, 0.11823951721207909, 0.8993057418714214]","[-1.0991830720064044e-06, 3.891197491860676e-05, -1.9999999970722926, 9.766498819518965e-05, 2.4339350981228414e-05, 8.039058851105896e-06]","[0.0030420040635958934, -0.7624235284472971, -0.5000737278635838, -0.8659549657122207, -1.5000629487426735, 0.41056122972056613]","[0.006085901887933898, 5.0647164138384326e-05, -1.000084581239762, -1.7319912761435199, -2.690957444190376e-05, 9.076436531023357e-05]",4
14,"[7, 7, 7, 5, 5, 5, 1, 1, 1, 1, 1, 1]","['N', 'N', 'N', 'B', 'B', 'B', 'H', 'H', 'H', 'H', 'H', 'H']",-236.88671130354837,-343.8270591344409,6.974540710495347,6.843737646421914,"[-1, -1, -1, 1, 1, 1]","[-1, -1, -1, 1, 1, 1]","[1, 1, 1, -1, -1, -1]","[-1.2533882071077986, -1.1396363084373964, 0.7887124023468137, 0.8604711317902725, -1.2533729945586602, -0.44365008849937176]","[1.2533882071077986, 1.1396363084373964, -0.7887124023468137, -0.8604711317902725, 1.2533729945586602, 0.44365008849937176]","[1.2533882071077986, 1.1396363084373964, -0.7887124023468137, -0.8604711317902725, 1.2533729945586602, 0.44365008849937176]","[1.4569538171471663e-06, 1.4037324109018576, 5.233961197214032e-05, -1.125367123389065e-05, 2.0000282470171693, 0.1715293760521499]","[-1.4569538171471663e-06, -1.4037324109018576, -5.233961197214032e-05, 1.125367123389065e-05, -2.0000282470171693, -0.1715293760521499]","[-1.4569538171471663e-06, -1.4037324109018576, -5.233961197214032e-05, 1.125367123389065e-05, -2.0000282470171693, -0.1715293760521499]",6
15,"[7, 7, 5, 7, 5, 5, 1, 1, 1, 1, 1, 1]","['N', 'N', 'B', 'N', 'B', 'B', 'H', 'H', 'H', 'H', 'H', 'H']",-236.88285081528133,-343.4237521788356,6.97068022222831,6.44043069081664,"[-1, -1, -1, 1, 1, 1]","[-1, -1, 1, -1, 1, 1]","[1, 1, -1, 1, -1, -1]","[-1.678976849036315, 0.43478091591695955, -0.36878824155419015, 0.43486015015300716, 0.3212054816421646, -1.6011624579716626]","[1.2533882071077986, 1.1396363084373964, -0.7887124023468137, -0.8604711317902725, 1.2533729945586602, 0.44365008849937176]","[1.678976849036315, -0.43478091591695955, 0.36878824155419015, -0.43486015015300716, -0.3212054816421646, 1.6011624579716626]","[-0.006085465081008934, 0.12111464599273658, 1.0000951161151956, 1.731921185095675, 1.0000976504681773, -0.9926518354932822]","[-1.4569538171471663e-06, -1.4037324109018576, -5.233961197214032e-05, 1.125367123389065e-05, -2.0000282470171693, -0.1715293760521499]","[0.006085465081008934, -0.12111464599273658, -1.0000951161151956, -1.731921185095675, -1.0000976504681773, 0.9926518354932822]",6
16,"[7, 5, 7, 5, 7, 5, 1, 1, 1, 1, 1, 1]","['N', 'B', 'N', 'B', 'N', 'B', 'H', 'H', 'H', 'H', 'H', 'H']",-236.8210508673634,-343.0858812964949,6.908880274310377,6.102559808475917,"[-1, -1, -1, 1, 1, 1]","[-1, 1, -1, 1, -1, 1]","[1, -1, 1, -1, 1, -1]","[-0.13220682979016313, -0.2607154106723228, -0.6150960980265707, -0.2606502002230556, -2.1322629922671474, 0.9600633437011103]","[1.2533882071077986, 1.1396363084373964, -0.7887124023468137, -0.8604711317902725, 1.2533729945586602, 0.44365008849937176]","[0.13220682979016313, 0.2607154106723228, 0.6150960980265707, 0.2606502002230556, 2.1322629922671474, -0.9600633437011103]","[5.833399671639761e-07, 1.1614018245881077, 3.126986110478736e-05, 0.00012892842445511032, -0.0001132347703018385, 2.156651518308094]","[-1.4569538171471663e-06, -1.4037324109018576, -5.233961197214032e-05, 1.125367123389065e-05, -2.0000282470171693, -0.1715293760521499]","[-5.833399671639761e-07, -1.1614018245881077, -3.126986110478736e-05, -0.00012892842445511032, 0.0001132347703018385, -2.156651518308094]",6
